Nhưng giờ chúng ta đang nói về lễ cưới của cậu đó, Noc.        But this is your wedding we're talking about, Noc.
In chỉ đen (vẽ đen) Tùy chọn « vẽ đen » ghi rõ rằng mọi bút nên vẽ chỉ bằng màu đen thôi. Mặc định là dùng những màu sắc được xác định trong tập tin đồ thị, hoặc những màu sắc bút chuẩn được định nghĩa trong sổ tay tham chiếu HP-GL/# của công ty Hewlett Packard (HP). Gọi ý thêm cho người sử dụng thành thạo: yếu tố GUI KDEPrint này tương ứng với tham số tùy chọn công việc dòng lệnh CUPS:-o blackplot=true        Print in Black Only (Blackplot) The 'blackplot ' option specifies that all pens should plot in black-only: The default is to use the colors defined in the plot file, or the standard pen colors defined in the HP-GL/# reference manual from Hewlett Packard. Additional hint for power users: This KDEPrint GUI element matches with the CUPS commandline job option parameter:-o blackplot=true
Tóc ngắn màu nâu đen, mặc áo jacket quân đội xanh và quần màu đen        Short dark brown hair, wearing army green jacket and black trousers.
Nếu sao lại một tờ giấy trắng có một chấm đen trên đó, tất cả các bản sao của bạn đều sẽ bị chấm đen.        If you were to photocopy a sheet of paper that had a dark spot on it, that spot would appear on all the copies.
Có anh em trong hội đồng, cuối cùng tôi sẽ tự do, ê này, vì không có người đen nào sẽ để một phụ nữ đen tử tế như tôi giấu anh sáng của cô ấy trong tù.        There be brothers on the board, I'm gonna be free at last, yo,'cause ain't no black man gonna let a fine black woman such as me hide her light in jail.
Và sau đó chúng ta có thể thấy quá trình tự liên kết của những giọt dầu này lại lần nữa như chúng ta thấy vừa nãy, và những đốm đen ở trong đó tượng trưng thứ hắc ín màu đen này -- thứ hắc ín hữu cơ màu đen rất phức tạp, đa dạng này.        So we're able to then see the self- assembly of these oil droplet bodies again that we've seen previously, and the black spots inside of there represent this kind of black tar -- this diverse, very complex, organic black tar.
Và nó là một khái niệm thực sự khá hữu dụng, bởi vì nó không chỉ nói cho chúng ta biết khi nào hố đen sẽ hình thành, mà còn đưa cho chúng ta chìa khóa về bằng chứng của hố đen.        And it's actually quite a useful concept, because it tells us not only when a black hole will form, but it also gives us the key elements for the proof of a black hole.
Thực ra có rất nhiều sự khác biệt về mặt di truyền giữa một người da đen Kenya và một người da đen Uganda hơn là giữa một người da đen Kenya và một người da trắng Na Uy.        Because there's actually more genetic difference between a black Kenyan and a black Ugandan than there is between a black Kenyan and, say, a white Norwegian.
Họ là những con ngựa vằn đen sọc trắng còn cậu là con ngựa vằn trắng sọc đen        They' re white with black stripes.You' re black with white stripes
Anh ta sẽ làm như thế, và khi anh ta làm nó... thực sự chỉ có một câu hỏi là anh ta có giết cô trước khi anh ta bỏ đi không.        He'll put it all together, and when he does... it's really only a question of whether he kills you before he leaves.
Và Ngài cũng luôn luôn làm điều Ngài cần phải làm để làm cho tình thế được tốt hơn—từ việc giảng dạy lẽ thật, đến việc tha thứ kẻ phạm tội, làm sạch đền thờ.        And He always did what should have been done to make the situation better—from teaching the truth, to forgiving sinners, to cleansing the temple.
Sau khi anh ấy nhận được bằng tiến sĩ từ trường Harvard University, chuyên về tình hình chính trị của Nước Nga. Cách suy nghĩ và những bài viết hay của anh ấy đã làm cho anh ấy nổi tiếng, nhưng sự giàu có và ca ngợi của thế gian không bao giờ làm cho anh ấy sao lãng.25 Lòng trung thành của anh là với Đấng Cứu Rỗi của mình, Chúa Giê Su Ky Tô; với người bạn đời vĩnh cửu của anh là Susan; với con cháu của anh.        After he received his doctoral degree from Harvard University, emphasizing Russian affairs, Bruce’s thinking and writing brought prominence that could have derailed him, but the wealth and praise of the world never clouded his view.25 His loyalty was to his Savior, Jesus Christ; to his eternal companion, Susan; to his children and grandchildren.
(Công-vụ 24:5; 25:11, 12) Phao-lô đặc biệt nêu ra năm tín đồ Đấng Christ đã kề cạnh bên ông: Ti-chi-cơ ở địa hạt A-si, người đại diện riêng của ông và “bạn cùng làm việc” với ông trong Chúa; Ô-nê-sim, một “anh em trung-tín và rất yêu” ở Cô-lô-se; A-ri-tạc, người Ma-xê-đoan ở Tê-sa-lô-ni-ca và có lần là “bạn đồng-tù” với Phao-lô; Mác, anh em chú bác của Ba-na-ba (người cùng làm giáo sĩ với Phao-lô) cũng là người viết sách Phúc Âm mang tên ông; và Giúc-tu, một trong những người đồng làm việc với sứ đồ “vì nước Đức Chúa Trời”.        (Acts 24:5; 25:11, 12) Paul singles out for mention five Christians who stood by his side: Tychicus, his personal envoy from the district of Asia and a “fellow slave in the Lord”; Onesimus, a “faithful and beloved brother” from Colossae; Aristarchus, a Macedonian from Thessalonica and at one time a “fellow captive” with Paul; Mark, the cousin of Paul’s missionary companion Barnabas and the writer of the Gospel bearing his name; and Justus, one of the apostle’s fellow workers “for the kingdom of God.”
“Tôi đã nêu gương cho anh em, để anh em cũng làm như tôi đã làm cho anh em”.—GIĂNG 13:15.        “I set the pattern for you, that, just as I did to you, you should do also.” —JOHN 13:15.
Ngài biết đức tin của họ, vì trong danh Ngài họ có thể làm cho bnúi dời đi, và cũng trong danh Ngài, họ có thể làm cho đất rung chuyển; và qua quyền năng của lời Ngài, họ có thể làm cho ccác nhà giam sụp đổ xuống đất; phải, ngay cả lò lửa đang cháy đỏ cũng không làm cho họ hề hấn gì, và luôn cả thú dữ, rắn độc, cũng không làm gì được họ, vì nhờ quyền năng của lời Ngài.        And he knoweth their faith, for in his name could they remove bmountains; and in his name could they cause the earth to shake; and by the power of his word did they cause cprisons to tumble to the earth; yea, even the fiery furnace could not harm them, neither wild beasts nor poisonous serpents, because of the power of his word.
Ngài nói với 11 sứ đồ trung thành: “Tôi nói thật với anh em, ai thể hiện đức tin nơi tôi cũng sẽ làm những việc tôi làm; và người ấy sẽ làm những việc lớn hơn thế nữa, vì tôi sắp đến cùng Cha” (Giăng 14:12).        To his 11 faithful apostles, he said: “Most truly I say to you, He that exercises faith in me, that one also will do the works that I do; and he will do works greater than these, because I am going my way to the Father.”
Các bậc cha mẹ hãy xem lại, chia sẻ, và thảo luận điều các anh chị em học được và cảm nhận với con cái của mình, cũng như để cho chúng xem và cũng làm như vậy với các anh chị em để gia đình của các anh chị em có thể được củng cố qua chức tư tế.        Parents, review, share, and discuss what you learn and feel with your children, and let them watch and do the same with you, that your families may be strengthened through the priesthood.
Năm 1833 Vị Tiên Tri và các vị lãnh đạo khác trong Giáo Hội viết thư cho các tín hữu ở Thompson, Ohio, nói cho họ biết rằng Anh Salmon Gee đã được chỉ định để chủ tọa họ: “Anh Salmon thân mến của chúng ta... đã được chúng tôi sắc phong... để lãnh đạo các anh chị em và giảng dạy những điều đúng theo sự tin kính, mà chúng tôi có sự tin tưởng lớn lao, như chúng tôi cho là các anh chị em cũng làm thế.        In 1833 the Prophet and other Church leaders wrote to members in Thompson, Ohio, telling them that Brother Salmon Gee had been appointed to preside over them: “Our beloved Brother Salmon ... has been ordained by us ... to lead you and to teach the things which are according to godliness, in whom we have great confidence, as we presume also you have.
